Added_Sugars,Alcohol,Calories,Display_Name,Drkgreen_Vegetables,Drybeans_Peas,Factor,Food_Code,Fruits,Grains,Increment,Meats,Milk,Multiplier,Oils,Orange_Vegetables,Other_Vegetables,Portion_Amount,Portion_Default,Portion_Display_Name,Saturated_Fats,Solid_Fats,Soy,Starchy_vegetables,Vegetables,Whole_Grains
0,0,211.6,Fried steak (eat lean only),0,0,4,21102130,0,0,1,4,0,0.25,0,0,0,4,2,"ounces cooked, no bone",2.8428,22.72032,0,0,0,0
7.38598,0,801.9,Breaded fried steak (eat lean & fat),0,0,1,21103120,0,1.97559,0.5,5.32899,0.04617,0.5,2.19672,0,0,1,1,medium steak,16.1109,242.86635,0.00972,0,0,0
9.84797,0,1069.2,Breaded fried steak (eat lean & fat),0,0,1,21103120,0,2.63412,0.5,7.10532,0.06156,0.5,2.92896,0,0,1,2,large steak,21.4812,323.8218,0.01296,0,0,0
5.53189,0,600.6,Breaded fried steak (eat lean & fat),0,0,1,21103120,0,1.47966,0.5,3.99126,0.03458,0.5,1.64528,0,0,1,2,small steak,12.0666,181.8999,0.00728,0,0,0
3.44679,0,374.22,Breaded fried steak (eat lean & fat),0,0,4,21103120,0,0.92194,1,2.48686,0.02155,0.25,1.02514,0,0,4,2,"ounces cooked, no bone",7.51842,113.33763,0.00454,0,0,0
5.65347,0,515.22,Breaded fried steak (eat lean only),0,0,1,21103130,0,1.51032,0.5,4.82856,0.03534,0.5,1.6802,0,0,1,1,medium steak,6.9564,53.85258,0.00744,0,0,0
7.53796,0,686.96,Breaded fried steak (eat lean only),0,0,1,21103130,0,2.01376,0.5,6.43808,0.04712,0.5,2.24027,0,0,1,2,large steak,9.2752,71.80344,0.00992,0,0,0
4.2553,0,387.8,Breaded fried steak (eat lean only),0,0,1,21103130,0,1.1368,0.5,3.6344,0.0266,0.5,1.26467,0,0,1,2,small steak,5.236,40.5342,0.0056,0,0,0
3.28266,0,299.16,Breaded fried steak (eat lean only),0,0,4,21103130,0,0.87696,1,2.80368,0.02052,0.25,0.9756,0,0,4,2,"ounces cooked, no bone",4.0392,31.26924,0.00432,0,0,0
3.76345,0,107.61,BBQ short ribs with sauce,0,0,1,21304220,0,0.06375,1,0.93534,0,1,0.00057,0,0.00459,1,1,medium rib,2.4378,28.05408,0,0,0.00459,0
5.16552,0,147.7,BBQ short ribs with sauce,0,0,1,21304220,0,0.0875,1,1.2838,0,1,0.00078,0,0.0063,1,2,large rib,3.346,38.5056,0,0,0.0063,0
1.62345,0,46.42,BBQ short ribs with sauce,0,0,1,21304220,0,0.0275,1,0.40348,0,1,0.00024,0,0.00198,1,2,small rib,1.0516,12.10176,0,0,0.00198,0
0,0,111.72,Roast beef (eat lean & fat),0,0,1,21401110,0,0,0.5,1.34988,0,0.5,0,0,0,1,1,medium slice,2.8728,36.83232,0,0,0,0
0,0,167.58,Roast beef (eat lean & fat),0,0,1,21401110,0,0,0.5,2.02482,0,0.5,0,0,0,1,2,thick slice,4.3092,55.24848,0,0,0,0
0,0,55.86,Roast beef (eat lean & fat),0,0,1,21401110,0,0,1,0.67494,0,1,0,0,0,1,2,thin slice,1.4364,18.41616,0,0,0,0
